Key	Type	Desc	Українська [c0]
Items/SharkTooth	Text		Акулячий зуб
Items/SharkToothDesc	Text		Зуби завбільшки з долоню, зустріч з якими може призвести до летального результату.
Items/SilverTorrentDart	Text		Срібний Дарт
Items/SilverTorrentDartDesc	Text		Ця невловима риба з'являється в зграях у вигляді мерехтливого срібла, щоб збити з пантелику хижаків.
Items/SkirmisherHelm	Text		Капелюх сутичників
Items/SkirmisherHelmDesc	Text		Головний убір, який носили спелеологи, зшитий з личинок, листя та брудної тканини.
Items/SkullNecklace	Text		Намисто з черепів
Items/SkullNecklaceDesc	Text		Хворобливе намисто, виготовлене з крихітних черепів спелеологів. Вони занадто малі, щоб належати дітям.
Items/SkullRing	Text		Каблучка з черепів
Items/SkullRingDesc	Text		Гротескний криваво-червоний перстень, увінчаний крихітним проломленим черепом.
Items/SkyRing	Text		Небесне кільце
Items/SkyRingDesc	Text		Це кільце нагадує вам про широке відкрите небо.
Items/Slime	Text		Слиз
Items/SlimeBlob	Text		Помаранчевий слиз
Items/SlimeBossCrystal	Text		Глярхове око
Items/SlimeBossCrystalDesc	Text		Коштовний камінь, що об'єднав багато слизовиків у гігантський слизовик.
Items/SlimeBossSummoningItem	Text		Ідол виклику гігантського слимака
Items/SlimeBossSummoningItemDesc	Text		Кришталевий ідол для пробудження гігантського слимака. Витрачається при розміщенні його на будь-якій руні виклику гігантського слимака.
Items/SlimeBreastArmor	Text		Слизовий обладунок
Items/SlimeBreastArmorDesc	Text		Желатинова броня, що виглядає так, ніби на вас вилили відро слизу.
Items/SlimeDesc	Text		Помаранчевий згусток слизу. Піддається подальшій обробці.
Items/SlimeDestructLarge	Text		Великий слизовий міхур
Items/SlimeDestructMedium	Text		Середній слизовий міхур
Items/SlimeDestructSmall	Text		Малий слизовий човен
Items/SlimeHelm	Text		Слизовий шолом
Items/SlimeHelmDesc	Text		Липкий, постійно капаючий шолом, що закриває половину вашого обличчя.
Items/SlimeMerchant	Text		Бородатий купець
Items/SlimeOil	Text		Слизняна олія
Items/SlimeOilDesc	Text		Баночка з есенцією слизу, що використовується для догляду за бородою. Поставте її в придатній для життя кімнаті, і бородатий персонаж може в ній оселитися.
Items/SlimeSword	Text		Меч зі слизу
Items/SlimeSwordDesc	Text		Дивна зброя, що завдає шкоди ворогам і уповільнює їхню ходу.
Items/SlimeTrophy	Text		Фігурка слизовика
Items/SlimeTrophyDesc	Text		Реалістичне зображення звичайного помаранчевого слимака.
Items/Slingshot	Text		Рогатка
Items/SlingshotDesc	Text		Проста зброя для відстрілу ворогів.
Items/SlipperySlime	Text		Слизький слизовик
Items/SlipperySlimeBlob	Text		Синій слизовик
Items/SlipperySlimeBossScanner	Text		Сканер водної маси Морфи
Items/SlipperySlimeBossScannerDesc	Text		Сканує світ у пошуках водної маси Морфи. Витрачається при успішному скануванні.
Items/SlipperySlimeDesc	Text		Згусток синього слизу, майже занадто слизький, щоб за нього можна було вхопитися. Може бути додатково оброблена.
Items/SlipperySlimeSword	Text		Слизький слизовий меч
Items/SlipperySlimeSwordDesc	Text		Синій варіант слизового меча. Іноді розбризкує на ворогів слиз, який змушує їх ковзати.
Items/SmallBomb	Text		Сира бомба
Items/SmallBombDesc	Text		Невелика вибухівка для підриву стін і ворогів.
Items/SmallCavelingSkull	Text		Малий обвалювальний череп
Items/SmallCavelingSkullDesc	Text		Череп, що падає, менший за звичайний. Натякає на трагічну історію.
Items/SmallLantern	Text		Маленький ліхтарик
Items/SmallLanternDesc	Text		Слабкий ліхтар, який можна носити в руці.
Items/SmallTempleRug	Text		Килимок для декору храму
Items/SmallTempleRugDesc	Text		Невеликий старовинний килимок, вкритий пилом тисячоліть. Візерунок на ньому зображує трійцю очей.
Items/SmallTentacle	Text		Щупальце
Items/SmelterKiln	Text		Плавильна піч
Items/SmelterKilnDesc	Text		Піч, яка може плавити цінні руди.
Items/SmithingBellow	Text		Старовинний ковальський горн
Items/SmithingBellowDesc	Text		Старовинний пристрій, що використовувався для циркуляції повітря в кузні для створення екстремальних температур. Важіль його механізму вкритий іржею.
Items/SmithingGlove	Text		Ковальська рукавиця
Items/SmithingGloveDesc	Text		Посилена кількома рідкісними матеріалами, ця рукавиця витримує велику температуру і є обов'язковою річчю для кожного досвідченого коваля.
Items/SnarePlant	Text		Рослина-пастка
Items/SnarePlantTrophy	Text		Фігурка рослини-пастки
Items/SnarePlantTrophyDesc	Text		Реалістичне зображення рослини-ловушки.
Items/SnowGlobe	Text		Снігова куля
Items/SnowGlobeDesc	Text		Ця маленька глобус має серцевину в центрі, а коли її потрясти, то починається снігопад.
Items/Snowball	Text		Сніжок
Items/SnowballDesc	Text		Зручний снаряд, щоб розпочати бійку з сусідськими дітьми. Його також можна збирати і надалі переробляти.
Items/SnowballPyramid	Text		Снігова піраміда
Items/SnowballPyramidDesc	Text		Традиційна святкова споруда, побудована зі сніжок та джерела світла в середині.
Items/SnowmanHelm	Text		Капелюх сніговика
Items/SnowmanHelmDesc	Text		Що б ви не відчували в даний момент, цей капелюх з вугілля та моркви приховує все це зі щасливим виразом обличчя.
Items/SoftSponge	Text		М'яка губка
Items/SoftSpongeDesc	Text		М'яка, хлюпаюча мочалка. Час приймати ванну!
Items/SolidSpikeback	Text		Тверда колючка
Items/SolidSpikebackDesc	Text		Дуже захищена риба з твердою, як камінь, шкірою і гострими шипами, що стирчать назовні.
Items/SpearRack	Text		Списова стійка
Items/SpearRackDesc	Text		Грубо зроблена стійка, яку використовують спелеологи, щоб тримати списи напоготові.
Items/SpeederBoat	Text		Спідер
Items/SpeederBoatDesc	Text		Дозволяє пересуватися по воді набагато швидше.
Items/SpeederGoKart	Text		Спідер-карт
Items/SpeederGoKartDesc	Text		Гоночний картинг з гарним червоним покриттям, здатний обігнати інші транспортні засоби після тривалого розгону. Схильний до сильного дрейфу, якщо їхати надто швидко.
Items/SpikeTrap	Text		Пастка для шипів
Items/SpikeTrapDesc	Text		Механічна пастка з шипами, яка реагує лише на ворогів.
Items/SpineRing	Text		Кільце хребта
Items/SpineRingDesc	Text		Кільце, знайдене на скелеті гігантської океанської істоти. Він зроблений з крихітних шийних хребців.
Items/SpiritVeil	Text		Завіса духу
Items/SpiritVeilDesc	Text		Жахлива риба, яка плаває в повітрі, ніби все ще перебуває під водою.
Items/SpookyPopCandy	Text		Моторошна льодяникова цукерка
Items/SpookyPopCandyDesc	Text		Виглядає майже занадто страшно, щоб зняти обгортку. Які смачні жахи можуть чекати за нею?
Items/Sprinkler	Text		Спринклер
Items/SprinklerDesc	Text		Корисний пристрій, який поливає землю в невеликому радіусі.
Items/Stalagmite	Text		Сталагміт
Items/StalagmiteDesc	Text		Кам'яний стовп, що виріс за тисячі років завдяки капаючій воді.
Items/StarlightNautilus	Text		Зоряний наутилус
Items/StarlightNautilusDesc	Text		Загадкова жива копалина, яка, здається, злилася з дорогоцінними металами та коштовним камінням, щоб піднятися до вищого стану буття.
Items/StarlightShards	Text		Starlight Shards
Items/StarlightShardsDesc	Text		Колекція іскристих різнокольорових кристалів. Чи виросли вони природним шляхом, чи ні - залишається загадкою.
Items/StoneBridge	Text		Кам'яний міст
Items/StoneBridgeDesc	Text		Використовується для переходу через прірви та воду, але також може бути гарною підлогою.
Items/StoneCap	Text		Кам'яна шапка
Items/StoneCapDesc	Text		Тверді як камінь гриби, прикріплені до кам'яного сланцю. Вони виглядають їстівними, але насправді є скам'янілими.
Items/StoneCavelingMoss	Text		Кам'яний мох
Items/StoneCavelingMossDesc	Text		Наземні рослини, знайдені в Забутих руїнах. На них ростуть крихітні ягоди, які приваблюють печерних птахів відповідної місцевості.
Items/StoneDoor	Text		Кам'яні двері
Items/StoneDoorDesc	Text		Міцні двері, що захищають від небажаних істот.
Items/StoneFence	Text		Кам'яний паркан
Items/StoneFenceDesc	Text		Посилений паркан для захисту того, що належить вам по праву.
Items/StoneFenceGate	Text		Хвіртка для кам'яного паркану
Items/StoneFenceGateDesc	Text		Проста хвіртка для кам'яного паркану.
Items/StoneFloor	Text		Кам'яна підлога
Items/StoneFloorDesc	Text		Проста кам'яна плитка для декорування вашої основи.
Items/StonePedestal	Text		Кам'яний п'єдестал
Items/StonePedestalDesc	Text		Продемонструйте свої знахідки!
Items/StoneStalagmite	Text		Кам'яний сталагміт
Items/StoneStalagmiteDesc	Text		Кам'яний стовп, що повільно піднімався протягом тисячоліть під дією тектонічного тиску.
Items/StoneskinPotion	Text		Зілля кам'яної шкіри
Items/StoneskinPotionDesc	Text		Солоний еліксир, який загартовує шкіру і робить її більш витривалою.
Items/SuitBreastArmor	Text		Піджак для костюма
Items/SuitBreastArmorDesc	Text		Елегантний піджак з наклеєною трояндою ідеально підходить для романтичної вечері. Не забудьте прийти вчасно.
Items/SuitHelm	Text		Капелюх
Items/SuitHelmDesc	Text		Цей капелюх носить кожен, хто вважає себе захопленим авантюристом, наділеним чарівною харизмою.
Items/SuitPantsArmor	Text		Костюмні штани
Items/SuitPantsArmorDesc	Text		Ці штани з чорного шовковистого фарбіку натякають на вишуканість і впевненість.
Items/SunglassesHelm	Text		Сонцезахисні окуляри
Items/SunglassesHelmDesc	Text		Немає нічого важливішого, ніж спортивні круті сонцезахисні окуляри, навіть коли на вулиці темно.
Items/SwiftFeather	Text		Стрімке перо
Items/SwiftFeatherDesc	Text		Таємниче перо, що дозволяє миттєво уникати небезпеки.
Items/SwiftRing	Text		Стрімке кільце
Items/SwiftRingDesc	Text		Носіння цього крилатого кільця створює легкий вітер, який штовхає вас вперед.
Items/SwimingPantsArmorBlue	Text		Блакитні шорти для дошки
Items/SwimingPantsArmorBlueDesc	Text		У цих прохолодних блакитних шортах вам захочеться постійно зображати рукою знак шака.
Items/SwimingPantsArmorGreen	Text		Зелені шорти для серфінгу
Items/SwimingPantsArmorGreenDesc	Text		Ці холодні зелені шорти спокушають вас постійно формувати рукою знак шака.
Items/SwimingPantsArmorRed	Text		Червоні шорти для серфінгу
Items/SwimingPantsArmorRedDesc	Text		Ці холодні червоні шорти спокушають вас постійно формувати рукою знак шака.
Items/TableSaw	Text		Настільна пила
Items/TableSawDesc	Text		Проста пила для розпилювання матеріалів на сланці. Потребує електрики.
Items/TallGrass	Text		Висока трава
Items/TallGrassDesc	Text		Велика ділянка високої трави, яку можна використовувати як декоративний елемент.
Items/TallLandKelp	Text		Високі наземні водорості
Items/TallLandKelpDesc	Text		Великий вид ламінарії, який може рости поза водою.
Items/TealPalaceFish	Text		Палацова рибка чирок
Items/TealPalaceFishDesc	Text		Зеленувато-блакитна, дивна на вигляд риба з плавниками химерної форми.
Items/TempleAzeosUrn	Text		Урна Азеоса
Items/TempleAzeosUrnDesc	Text		Ця декоративна ваза створена на честь Азеоса, небесного титана.
Items/TempleGlyphBlock	Text		Стела-гліф
Items/TempleGlyphBlockBroken	Text		Розбита гліф-стела
Items/TempleGlyphBlockBrokenDesc	Text		Блок із блакитного скла із золотистим гравіюванням. Інформація, написана на ній, втрачена назавжди, адже вона була навмисно розбита.
Items/TempleGlyphBlockDesc	Text		Блок із синього скла із золотистим гравіюванням. Схоже, що їх використовували як меморіали або для позначення важливих місць.
Items/TempleGlyphWall1	Text		Стіна з кутовим гліфом
Items/TempleGlyphWall1Desc	Text		Стародавня стіна з пісковика з кутовим верхом, вкрита нерозбірливими гліфами. Які історії вони розповідають?
Items/TempleGlyphWall2	Text		Стіна з гліфами
Items/TempleGlyphWall2Desc	Text		Стародавня стіна з пісковика, вкрита нерозбірливими гліфами. Які історії вони розповідають?
Items/TempleGuardianStatue	Text		Статуя охоронця храму
Items/TempleGuardianStatueDesc	Text		Ця страхітлива статуя зображує стародавнього охоронця в екзотичному вбранні. Його позиція на колінах натякає на те, що він служив королю.
Items/TempleGuardianStatueRaided	Text		Пограбована статуя охоронця храму
Items/TempleGuardianStatueRaidedDesc	Text		Статуя, навмисно зруйнована розкрадачами могил. Вона була частково звільнена від зелених кинджалів у кам'яній застібці.
Items/TempleOmorothUrn	Text		Урна Оморота
Items/TempleOmorothUrnDesc	Text		Ця декоративна ваза була виготовлена на честь Оморота, морського титана.
Items/TemplePedestal	Text		Храмовий п'єдестал
Items/TemplePedestalDesc	Text		Старовинна золота підставка, на якій, здається, колись зберігалися королівські речі.
Items/TemplePillar	Text		Храмовий стовп
Items/TemplePillarDesc	Text		Дуже красивий, декоративний стовп, який зустрічається тільки в стародавніх пустельних храмах.
Items/TemplePitPillar	Text		Стовп для храмової ями
Items/TemplePitPillarDesc	Text		Несучий стовп, який утримує фундамент стародавніх пустельних храмів.
Items/TempleRaAkarUrn	Text		Урна Ра-Акар
Items/TempleRaAkarUrnDesc	Text		Ця декоративна ваза була зроблена на честь Ра-Акара, Піщаного Титана.
Items/TempleThrone	Text		Храмовий трон
Items/TempleThroneDesc	Text		Золотий трон, зарезервований лише для сідниць стародавніх царських осіб.
Items/TempleTurret	Text		Кам'яна вежа
Items/TempleTurretDesc	Text		Ця стародавня пастка стріляє снарядами в кожного, хто потрапляє в поле її зору. Її внутрішній устрій прихований під гримасою, що нагадує печерну гримасу.
Items/TentacleJerky	Text		В'ялене щупальце
Items/TentacleJerkyDesc	Text		Висушений шматок щупальця. Він досить твердий і тримає ваші зуби зайнятими.
Items/TentacleTrophy	Text		Фігурка щупальця
Items/TentacleTrophyDesc	Text		Реалістичне зображення щупальця.
Items/TentacleWhip	Text		Щупальцевий батіг
Items/TentacleWhipDesc	Text		Еластичне щупальце, яке б'є ворогів здалеку. Воно все ще живе і ворушиться у вашій руці.
Items/ThinWallGlass	Text		Тонка скляна стіна
Items/ThinWallGlassDesc	Text		Тонка стіна зі скла, що ідеально підходить для створення вольєрів.
Items/ThornWood	Text		Тернова деревина
Items/ThornWoodDesc	Text		Чагарниковий варіант звичайного кореневого дерева.
Items/ThrowingDaggers	Text		Метальні кинджали
Items/ThrowingDaggersDesc	Text		Набір вигнутих лез. Вони рівномірно збалансовані, тому кидати їх так само легко, як тицьнути пальцем.
Items/Thumper	Text		Стукалка
Items/ThumperDesc	Text		Дивний пристрій, який посилає ударні хвилі глибоко в землю. Використання його в потрібному місці може пробудити щось від сну. Споживається при успішному використанні.
Items/TiltedGrave	Text		Перекинута могила
Items/TiltedGraveDesc	Text		Порожня могила, яку зрушили з місця в пошуках цінностей.
Items/TimelessHourglass	Text		Нескінченний пісочний годинник
Items/TimelessHourglassDesc	Text		Неушкоджений пісочний годинник, наповнений блакитним піском. Незрозуміло, який проміжок часу він вимірює, оскільки пісок осипається неймовірно повільно.
Items/TinAnvil	Text		Олов'яне ковадло
Items/TinAnvilDesc	Text		Краще ковадло для створення спорядження та зброї, більш пристосованих для виживання.
Items/TinAxe	Text		Олов'яна сокира
Items/TinAxeDesc	Text		Повільніша, але більш руйнівна зброя проти кількох ворогів.
Items/TinBar	Text		Олов'яний злиток
Items/TinBarDesc	Text		Міцний металевий злиток для ковальства.
Items/TinBreastArmor	Text		Олов'яний нагрудник
Items/TinBreastArmorDesc	Text		Гарний обладунок, щоб легше виживати в бою.
Items/TinDagger	Text		Олов'яний кинджал
Items/TinDaggerDesc	Text		Невеликий клинок для швидких ударів.
Items/TinFishingRod	Text		Олов'яна рибальська вудка
Items/TinFishingRodDesc	Text		Міцний інструмент для витягування великої риби.
Items/TinHelm	Text		Олов'яний шолом
Items/TinHelmDesc	Text		Цей шолом відбиває легкі удари по голові.
Items/TinHoe	Text		Олов'яна мотика
Items/TinHoeDesc	Text		Міцний інструмент для підготовки землі до землеробства. Покриває площу 3х3 плитки.
Items/TinMiningPick	Text		Олов'яна кирка
Items/TinMiningPickDesc	Text		Міцний інструмент, добре підходить для легкого руйнування стін.
Items/TinOre	Text		Олов'яна руда
Items/TinOreBoulder	Text		Валун олов'яної руди
Items/TinOreDesc	Text		Часто зустрічається в глиняних стінах.
Items/TinPantsArmor	Text		Олов'яні штани
Items/TinPantsArmorDesc	Text		Трохи олова для гомілки.
Items/TinShovel	Text		Олов'яна лопата
Items/TinShovelDesc	Text		Міцна лопата, добре підходить для копання землі.
Items/TinSledge	Text		Олов'яна кувалда
Items/TinSledgeDesc	Text		Громіздка зброя для розбивання ворогів і стін.
Items/TinSword	Text		Олов'яний меч
Items/TinSwordDesc	Text		Гостра зброя для знищення ворогів.
Items/TinWorkbench	Text		Олов'яний верстак
Items/TinWorkbenchDesc	Text		Кращий верстат, щоб підготувати вас до підземного світу.
Items/TopazRing	Text		Перстень з топазом
Items/TopazRingDesc	Text		Дорогоцінний перстень з жовтим дорогоцінним каменем на вершині.
Items/TorcNecklace	Text		Намисто з торка
Items/TorcNecklaceDesc	Text		Прикраса для шиї, що являє собою просто обруч з проміжком. Носили представники різних культур протягом всієї світової історії.
Items/Torch	Text		Смолоскип
Items/TorchDesc	Text		Освітлюйте своє оточення. Можна також поставити на землю.
Items/TorchPlural	Text		Смолоскипи
Items/TornisKingfish	Text		Королівська риба Торніс
Items/TornisKingfishDesc	Text		Надзвичайно рідкісна загадка морського життя, яка, здається, об'єднує під собою всіх інших риб.
Items/TowelBreastArmor	Text		Рушник
Items/TowelBreastArmorDesc	Text		Рушник - чи не найкорисніша річ, яку може мати підземний шахтар.
Items/TriangleTrinket	Text		Трикутна дрібничка
Items/TriangleTrinketDesc	Text		Дивний золотий виріб, що вібрує енергією.
Items/TurtleShell	Text		Черепашачий панцир
Items/TurtleShellDesc	Text		Твердий панцир, який колись належав граціозній морській істоті. Тримаючи його в руках, відчуваєш себе набагато більш захищеним.
Items/TwistedAgate	Text		Кручений агат
Items/TwistedAgateDesc	Text		Зелений дорогоцінний камінь у формі спіралі.
Items/UnlockedKingChest	Text		Скриня короля пустелі
Items/UnlockedKingChestDesc	Text		Складна, унікальна скриня з фіолетовим дорогоцінним каменем, замкненим в її центрі.
Items/UnlockedPrinceChest	Text		Скриня принца пустелі
Items/UnlockedPrinceChestDesc	Text		Складна, унікальна скриня з помаранчевим дорогоцінним каменем, замкненим в її центрі.
Items/UnlockedQueenChest	Text		Скриня королеви пустелі
Items/UnlockedQueenChestDesc	Text		Складна, унікальна скриня з зеленим дорогоцінним каменем, замкненим в її центрі.
Items/ValentineCandles	Text		Свічки до Дня Святого Валентина
Items/ValentineCandlesDesc	Text		Жменька маленьких рожевих свічок, які наповнюють повітря ароматом ванілі.
Items/ValentineChest	Text		Скринька для закоханих
Items/ValentineChestDesc	Text		Ця скринька у формі серця чудово підійде для зберігання дрібничок, що нагадують про кохання.
Items/ValentineFloorPetals	Text		Підлога з пелюсток троянд
Items/ValentineFloorPetalsDesc	Text		Цей маленький паперовий пакетик містить достатньо пелюсток троянд, щоб покрити ними підлогову плитку розміром 1х1. Чудово підійде для того, щоб викласти доріжку кохання.
Items/ValentineLetter	Text		Любовний лист
Items/ValentineLetterDesc	Text		Ароматизований лист, який містить слова любові та вдячності. Подаруйте його тому, хто гостро потребує ласки.
Items/ValentineNecklace	Text		Кольє для закоханих
Items/ValentineNecklaceDesc	Text		Золоте намисто з великим блискучим серцем. Ви відчуваєте щось, що неможливо описати, коли носите його так близько до свого серця.
Items/ValentinePainting	Text		Картина серця
Items/ValentinePaintingDesc	Text		Проста картина, на якій зображено лише серце. Іноді це все, що потрібно в ці темні часи.
Items/ValentinePlushie	Text		Звірячий плюшевий ведмедик Caveling Brute Plushie
Items/ValentinePlushieDesc	Text		Великий плюшевий звір, що нагадує печерного звіра, який тримає в руках серце. Навіть вони іноді потребують трохи любові.
Items/ValentinePresent	Text		Подарунок до Дня Святого Валентина
Items/ValentinePresentDesc	Text		Цей подарунок у рожево-сріблястому кольорі наповнений безліччю різноманітних чарівних дрібничок.
Items/ValentineRing	Text		Каблучка-валентинка
Items/ValentineRingDesc	Text		Золота каблучка з цукерковим серцем. Ідеальний подарунок для коханої людини.
Items/ValentineRug	Text		Килимок у формі серця
Items/ValentineRugDesc	Text		Ніщо так не промовляє про кохання, як велике пухнасте серце на підлозі. Пахне вовною та лавандою.
Items/ValentineWallHearts	Text		Настінні серця
Items/ValentineWallHeartsDesc	Text		Асортимент вирізаних з паперу сердечок, які чудово виглядають на стінах і роблять основу ще більш милою.
Items/ValentineWorkbench	Text		Валентинів стіл для рукоділля
Items/ValentineWorkbenchDesc	Text		Робочий стіл з інструментами та кресленнями для створення красивих декоративних виробів.
Items/VampireCapeBreastArmor	Text		Накидка Dracularva
Items/VampireCapeBreastArmorDesc	Text		Чорна атласна накидка для вампіра. Малиновий відкладний комір додає зловісного вигляду.
Items/VampireEel	Text		Вампірський вугор
Items/VampireEelDesc	Text		Кровожерлива риба, яка чіпляється до всього, що має пульс.
Items/VendingMachine	Text		Торговий автомат
Items/VendingMachineBroken	Text		Зламаний торговий автомат
Items/VendingMachineBrokenDesc	Text		Зламаний автомат, який колись містив закуски та інші товари. Виглядає так, ніби його зламали силою.
Items/VendingMachineDesc	Text		Старий, але все ще функціонуючий автомат, який є доказом передових технологій і розвиненого суспільства.
Items/VerdantDragonfish	Text		Зелена риба-дракон
Items/VerdantDragonfishDesc	Text		Ця драконівська риба має зелену луску, яка може витримувати надзвичайно високі температури.
Items/WallCityBlock	Text		Міська стіна
Items/WallCityBlockDesc	Text		Міцна ділянка стіни із золотими деталями та віконними отворами.
Items/WallClayBlock	Text		Глиняна стіна
Items/WallClayBlockDesc	Text		Червона, розсипчаста ділянка стіни.
Items/WallCoralBlock	Text		Коралова стіна
Items/WallCoralBlockDesc	Text		Рожева ділянка стіни, викладена плиткою.
Items/WallDesertBlock	Text		Стіна з пісковика
Items/WallDesertBlockDesc	Text		Скеляста ділянка стіни з хвилястим візерунком.
Items/WallDesertTempleBlock	Text		Храмова стіна
Items/WallDesertTempleBlock2	Text		Стіна-лабіринт
Items/WallDesertTempleBlock2Desc	Text		Надзвичайно міцна стіна з вигравіруваним лабіринтовим візерунком.
Items/WallDesertTempleBlockDesc	Text		Міцна ділянка стіни, викладена блакитною плиткою та золотом.
Items/WallDirtBlock	Text		Земляна стіна
Items/WallDirtBlockDesc	Text		Ділянка стіни коричневого кольору.
Items/WallExplosiveBlock	Text		Сховище вибухівки
Items/WallExplosiveBlockDesc	Text		Дуже небезпечний ящик з вибухівкою, який можна поставити як стіну. Не зачіпайте її, інакше вона вибухне прямо перед вашим обличчям.
Items/WallGalaxiteBlock	Text		Галакситна стіна
Items/WallGalaxiteBlockDesc	Text		Стіна, поцяткована блискучими зірками.
Items/WallGlassBlock	Text		Скляна стіна
Items/WallGlassBlockDesc	Text		Суцільна стіна зі скла. Добре підходить для побудови основи або вольєрів.
Items/WallGrassBlock	Text		Трав'яна стіна
Items/WallGrassBlockDesc	Text		Секція стіни з пишними рослинами.
Items/WallHiveBlock	Text		Стіна для вулика з личинок
Items/WallHiveBlockDesc	Text		Грудкувата, рухома... секція стіни?
Items/WallLavaBlock	Text		Стіна з лавового каменю
Items/WallLavaBlockDesc	Text		Розплавлена ділянка стіни.
Items/WallLimestoneBlock	Text		Вапнякова стіна
Items/WallLimestoneBlockDesc	Text		Біла, крейдяна ділянка стіни.
Items/WallMeadowBlock	Text		Лугова стіна
Items/WallMeadowBlockDesc	Text		Тепла, розсипчаста ділянка стіни, на якій ростуть золотисті пучки трави.
Items/WallMoldBlock	Text		Цвілева стіна
Items/WallMoldBlockDesc	Text		Покрита пліснявою ділянка стіни.
Items/WallObsidianBlock	Text		Обсидіанова стіна
Items/WallObsidianBlockDesc	Text		Непорушна ділянка стіни... зачекайте! Ви не повинні цього мати!
Items/WallPaintableBlock	Text		Стіна, що фарбується
Items/WallPaintableBlockDesc	Text		Похмура кам'яна стіна, готова до того, щоб стати живою завдяки фарбам.
Items/WallSandBlock	Text		Піщана стіна
Items/WallSandBlockDesc	Text		Жовта тендітна ділянка стіни.
Items/WallScarletBlock	Text		Червона стіна
Items/WallScarletBlockDesc	Text		Посилена металева стіна, щоб створити базу для важких зустрічей.
Items/WallSnowBlock	Text		Снігова стіна
Items/WallSnowBlockDesc	Text		Біла, холодна ділянка стіни.
Items/WallStoneBlock	Text		Кам'яна стіна
Items/WallStoneBlockDesc	Text		Міцна секція кам'яної стіни.
Items/WallStoneBricksBlock	Text		Стіна з кам'яної цегли
Items/WallStoneBricksBlockDesc	Text		Міцна стіна з блоків, що з'єднуються між собою.
Items/WallStrawBlock	Text		Стіна з тюків соломи
Items/WallStrawBlockDesc	Text		Армована стіна з соломи для створення затишної ферми.
Items/WallTurfBlock	Text		Стіна з дерну
Items/WallTurfBlockDesc	Text		М'яка, вкрита мохом ділянка стіни.
Items/WallWoodBlock	Text		Дерев'яна стіна
Items/WallWoodBlockDesc	Text		Міцна стіна з дерева. Добре підходить для побудови фундаменту.
Items/WashBasin	Text		Умивальник
Items/WashBasinDesc	Text		Ємність для зберігання води та наповнення лійок.
Items/WaterCan	Text		Лійка
Items/WaterCanDesc	Text		Використовується для поливу насіння та грунту.
Items/WaterKelp	Text		Сонячні водорості
Items/WaterKelpDesc	Text		Велика морська водорость, яка живе за рахунок світла, що падає на пустелю.
Items/WaterLily	Text		Латаття Азеоса
Items/WaterLilyDesc	Text		Плаваюча рослина, яка є частиною багатої екосистеми у водах дикої природи.
Items/WaterWell	Text		Криниця
Items/WaterWellDesc	Text		Старовинна кам'яна криниця, з якої брали воду.
Items/WeddingDressArmor	Text		Весільна сукня
Items/WeddingDressArmorDesc	Text		Проста біла сукня, що підкреслює красу своєї власниці. Існує багато нагод, щоб одягнути її, але найважливіша з них - бути нареченою.
Items/WeddingHelm	Text		Квіткова корона
Items/WeddingHelmDesc	Text		Красива корона з листя та рожевих троянд. Вона нагадує кохання, яке відчуває себе вічною весною.
Items/Wheelbarrow	Text		Стара тачка
Items/WheelbarrowDesc	Text		Зламана тачка, що застрягла у власному розплавленому вмісті. Здається, що вона не витримала екстремальної спеки.
Items/WhiteCherryFlower	Text		Цвітіння білої вишні
Items/WhiteCherryFlowerDesc	Text		Шовковистий білий цвіт, що впав з прекрасного дерева. У повному розквіті вона має слабкий мигдальний аромат і нагадує про радість життя.
Items/WhiteCherryTree	Text		Біла вишня
Items/WhiteCherryTreeDesc	Text		Це красиве біле дерево є традиційним символом радості життя. Кажуть, що навесні казкова дівчина спускається, щоб розбудити сплячі вишні своїм подихом.
Items/WhiteCoralotl	Text		Білий коралотль
Items/WhiteCoralotlDesc	Text		Невелика біла амфібія з зябрами, що стирчать назовні, схожими на корали. З їх допомогою вона також витягує поживні речовини з вод Затонулого моря.
Items/WhiteGlassRing	Text		Каблучка з білого скла
Items/WhiteGlassRingDesc	Text		Цей перстень виготовлений з молочного напівпрозорого матеріалу. Світло, яке він відбиває, заважає ворогам влучити в вас.
Items/WhiteRoseBouquet	Text		Букет з білих троянд
Items/WhiteRoseBouquetDesc	Text		Цей прекрасний букет з білих троянд прикрасить будь-яку кімнату. Подаруйте його комусь, кого ви дуже любите.
Items/WhiteWhistle	Text		Білий свисток
Items/WhiteWhistleDesc	Text		Рідкісний артефакт з дорогоцінного білого каменю. Він не видає звуку, коли ви намагаєтесь його використати.
Items/WinterBell	Text		Зимовий дзвіночок
Items/WinterBellDesc	Text		Цей золотисто-білий дзвіночок видає тонкий дзвін, він слабкий і нагадує падаючий сніг.
Items/WinterCookies	Text		Зимове печиво
Items/WinterCookiesDesc	Text		Гарно прикрашена жменька печива створить сезонний настрій. Тут є навіть маленьке печиво у формі ядра.
Items/WinterDinner	Text		Зимова вечеря
Items/WinterDinnerDesc	Text		Повноцінний обід, який зігріє ваш живіт у холодну пору року. Приготована зі смаженої личинки, гострого соусу із серцевини, вареників та зелені.
Items/WonkyMinecart	Text		Хитка вагонетка
Items/WonkyMinecartDesc	Text		Дозволяє їздити по залізницях.
Items/Wood	Text		Дерево
Items/WoodBow	Text		Дерев'яний лук
Items/WoodBowDesc	Text		Грубий лук, щоб стріляти у ворогів здалеку.
Items/WoodBreastArmor	Text		Дерев'яна скриня
